"orderid","date","product","totalprice"
"ORD201107","2025-06-30","Tablet",126.42
"ORD200256","2025-06-30","Chair",379.05
"ORD201039","2025-06-28","Desk",598.46
"ORD200882","2025-06-28","Phone",548.24
"ORD200773","2025-06-28","Phone",1024.66
"ORD200176","2025-06-28","Tablet",1723.32
"ORD200226","2025-06-27","Desk",1764.15
"ORD200064","2025-06-25","Printer",391.83
"ORD200918","2025-06-24","Laptop",1841.25
"ORD200055","2025-06-24","Printer",1033.20
"ORD201071","2025-06-24","Phone",510.28
"ORD200163","2025-06-24","Tablet",641.39
"ORD200342","2025-06-24","Monitor",2332.10
"ORD200676","2025-06-23","Laptop",844.68
"ORD200134","2025-06-23","Laptop",399.40
"ORD200604","2025-06-22","Chair",97.86
"ORD201044","2025-06-22","Printer",38.49
"ORD200468","2025-06-21","Phone",418.36
"ORD200713","2025-06-21","Tablet",2129.96
"ORD201115","2025-06-20","Laptop",672.64
"ORD200133","2025-06-20","Chair",1208.20
"ORD201002","2025-06-19","Tablet",2799.52
"ORD200965","2025-06-18","Laptop",2313.12
"ORD200006","2025-06-17","Laptop",664.42
"ORD201193","2025-06-16","Tablet",687.89
"ORD200583","2025-06-15","Chair",463.11
"ORD201182","2025-06-14","Chair",840.58
"ORD200837","2025-06-14","Chair",3277.75
"ORD200854","2025-06-13","Laptop",1117.80
"ORD200518","2025-06-13","Printer",1614.32
"ORD200504","2025-06-11","Monitor",929.00
"ORD200119","2025-06-11","Desk",1069.34
"ORD201154","2025-06-11","Monitor",595.89
"ORD200285","2025-06-10","Phone",338.31
"ORD200071","2025-06-10","Monitor",1303.35
"ORD201004","2025-06-09","Chair",987.64
"ORD200973","2025-06-09","Desk",1153.85
"ORD200849","2025-06-09","Printer",857.40
"ORD201101","2025-06-08","Monitor",485.91
"ORD201190","2025-06-08","Desk",1849.17
"ORD200200","2025-06-07","Tablet",2166.30
"ORD200969","2025-06-05","Desk",440.34
"ORD200495","2025-06-05","Phone",1974.92
"ORD200088","2025-06-05","Desk",344.43
"ORD200987","2025-06-05","Phone",1418.65
"ORD200738","2025-06-04","Phone",970.74
"ORD200355","2025-06-03","Tablet",1299.99
"ORD200870","2025-06-01","Phone",1880.36
"ORD200934","2025-06-01","Laptop",479.36
"ORD200140","2025-05-31","Chair",1584.42
"ORD200754","2025-05-31","Printer",904.10
"ORD200607","2025-05-31","Printer",2536.20
"ORD200554","2025-05-30","Laptop",985.80
"ORD200261","2025-05-28","Phone",868.25
"ORD200783","2025-05-26","Printer",438.34
"ORD200457","2025-05-25","Desk",2463.32
"ORD200312","2025-05-24","Printer",331.55
"ORD200966","2025-05-20","Monitor",1402.60
"ORD200798","2025-05-19","Phone",2441.75
"ORD200683","2025-05-18","Desk",2609.92
"ORD200311","2025-05-17","Desk",2446.85
"ORD201025","2025-05-17","Chair",23.53
"ORD200784","2025-05-16","Laptop",325.81
"ORD200251","2025-05-15","Monitor",58.76
"ORD200508","2025-05-14","Phone",558.27
"ORD200843","2025-05-13","Desk",1290.18
"ORD200883","2025-05-13","Printer",2807.40
"ORD200315","2025-05-12","Tablet",458.35
"ORD201145","2025-05-12","Desk",1714.59
"ORD200519","2025-05-10","Laptop",1857.16
"ORD201120","2025-05-10","Tablet",195.86
"ORD200243","2025-05-09","Chair",289.32
"ORD200036","2025-05-08","Laptop",1068.86
"ORD200004","2025-05-08","Printer",2504.04
"ORD200111","2025-05-07","Desk",927.66
"ORD200842","2025-05-07","Laptop",1092.42
"ORD200147","2025-05-06","Laptop",930.36
"ORD200967","2025-05-06","Tablet",3194.60
"ORD200908","2025-05-06","Desk",1395.86
"ORD200414","2025-05-04","Desk",279.14
"ORD201096","2025-05-03","Tablet",929.84
