"orderid","product","totalprice"
"ORD200006","Laptop",664.42
"ORD200007","Monitor",747.75
"ORD200013","Laptop",604.47
"ORD200014","Tablet",786.66
"ORD200016","Printer",1067.62
"ORD200019","Monitor",1120.00
"ORD200021","Monitor",1371.80
"ORD200023","Phone",1093.00
"ORD200028","Phone",640.28
"ORD200029","Desk",1270.59
"ORD200030","Monitor",853.40
"ORD200031","Chair",1500.24
"ORD200035","Monitor",930.30
"ORD200036","Laptop",1068.86
"ORD200039","Printer",769.38
"ORD200040","Desk",688.04
"ORD200041","Monitor",1834.35
"ORD200043","Chair",1497.63
"ORD200044","Phone",1100.36
"ORD200052","Tablet",586.44
"ORD200053","Phone",1955.12
"ORD200055","Printer",1033.20
"ORD200056","Tablet",1437.63
"ORD200057","Printer",1571.35
"ORD200058","Phone",1898.76
"ORD200063","Chair",564.86
"ORD200066","Chair",635.90
"ORD200068","Chair",1472.76
"ORD200069","Monitor",1435.95
"ORD200070","Desk",629.21
"ORD200071","Monitor",1303.35
"ORD200073","Monitor",1733.80
"ORD200075","Tablet",1194.51
"ORD200076","Laptop",1531.52
"ORD200077","Phone",583.18
"ORD200078","Printer",701.44
"ORD200079","Tablet",623.82
"ORD200080","Phone",1768.68
"ORD200081","Monitor",788.60
"ORD200087","Tablet",675.33
"ORD200090","Chair",728.32
"ORD200093","Desk",1724.04
"ORD200094","Chair",531.18
"ORD200100","Phone",1994.37
"ORD200103","Phone",873.72
"ORD200104","Phone",582.04
"ORD200105","Printer",556.20
"ORD200106","Desk",1395.15
"ORD200109","Desk",1778.61
"ORD200111","Desk",927.66
"ORD200113","Laptop",950.40
"ORD200115","Phone",1874.95
"ORD200116","Printer",1165.40
"ORD200117","Tablet",535.50
"ORD200119","Desk",1069.34
"ORD200122","Laptop",1066.04
"ORD200123","Desk",834.12
"ORD200124","Printer",1135.16
"ORD200125","Phone",1025.30
"ORD200126","Desk",1102.00
"ORD200127","Desk",1407.96
"ORD200129","Laptop",1055.72
"ORD200130","Desk",1503.90
"ORD200132","Tablet",1803.00
"ORD200133","Chair",1208.20
"ORD200137","Monitor",501.96
"ORD200139","Phone",583.90
"ORD200140","Chair",1584.42
"ORD200142","Desk",1363.85
"ORD200143","Chair",1600.28
"ORD200144","Desk",1098.90
"ORD200146","Tablet",822.98
"ORD200147","Laptop",930.36
"ORD200148","Phone",639.82
"ORD200152","Chair",798.08
"ORD200154","Phone",1632.84
"ORD200156","Chair",539.66
